palavra,quantidade
fizesse,1
tratam,1
jeito,1
imaginem,1
fazem,1
tudo,1
teatro,1
mentira,1
capazes,1
dona,1
maria,1
obrigado,1
quantos,1
ergueram,1
ajudaram,1
erguida,1
pateo,1
collegio,1
fundar,1
escolinha,1
catequizar,1
primeiros,1
índios,1
surgir,1
subiram,1
vicente,1
dando,1
sangue,1
escolas,1
freiras,1
santas,1
casas,1
desrespeitam,1
valorizam,1
amar,1
seguir,1
fingindo,1
tirando,1
proveito,1
interesses,1
fico,1
impressionado,1
desprezada,1
usando,1
banalizada,1
havia,1
peças,1
teatrais,1
peladas,1
palavreado,1
roupa,1
atrás,1
outra,1
dedo,1
chamando,1
promover,1
desrespeito,1
templo,1
deve,1
imoralidade,1
víamos,1
anteriores,1
anterior,1
nome,1
bois,1
juventude,1
jovem,1
adquira,1
necessário,1
invista,1
fazia,1
investiu,1
carlos,1
américo,1
tantos,1
patrocinados,1
passado,1
queriam,1
perpetuassem,1
levassem,1
frente,1
retroceder,1
digo,1
meio,1
achincalhado,1
conta,1
desses,1
imorais,1
pois,1
manuel,1
tocador,1
viola,1
gravar,1
apoio,1
financeiro,1
artista,1
trabalho,1
pudesse,1
visto,1
empresa,1
comunicação,1
desviado,1
grandes,1
artistas,1
utilizar,1
basta,1
sede,1
Felipe,1
avila,1
verde,1
amarela,1
feito,1
avanços,1
questão,1
fornece,1
moradia,1
dignidade,1
queremos,1
ampliar,1
garantir,1
posse,1
escritura,1
imóveis,1
regularizados,1
área,1
penso,1
parar,1
vemos,1
janeiro,1
salvador,1
cidades,1
milhares,1
famílias,1
inteiras,1
habitam,1
debaixo,1
viadutos,1
aguentam,1
promessas,1
poucas,1
ações,1
faço,1
dessas,1
olhássemos,1
dizemos,1
realidade,1
irmãs,1
dirijo,1
especialmente,1
pastor,1
fiel,1
viram,1
trataram,1
voto,1
preparam,1
continente,1
latino,1
americano,1
nestas,1
eleições,1
aproximam,1
domingo,1
outubro,1
federal,1
estadual,1
bancada,1
ajudá,1
aprovar,1
leis,1
deputados,1
federais,1
ajude,1
legenda,1
defende,1
pátria,1
família,1
liberdade,1
cuida,1
cortou,1
carne,1
reescreveu,1
estatuto,1
defendemos,1
concepção,1
morte,1
natural,1
